date	duns_product_hits
200504	1
200501	5
200503	1
200502	1
201603	11
201602	2
201605	4
201604	7
201607	2
201606	1
201609	2
201608	2
200210	2
201207	1
201206	8
201201	3
201110	1
200001	5
200003	1
200009	1
200809	1
200801	4
200802	1
200803	8
200804	8
200010	1
200812	1
201701	2
201702	1
200411	1
200711	1
201612	5
201308	9
201309	1
201412	1
201304	6
201305	14
201306	3
201404	2
201301	6
201302	1
201303	3
201611	1
200905	1
200903	4
200709	6
200708	2
200707	4
200705	1
200701	1
201403	1
201402	2
201401	4
201406	2
201405	1
201204	1
201312	2
201311	8
201010	6
201011	1
201006	5
201005	3
201008	1
200301	1
200306	3
200606	3
200607	1
200910	1
200602	1
200601	3
200608	3
201508	2
201509	7
201502	1
201503	2
201501	3
201506	1
201507	5
201504	6
201505	1
201108	2
200901	4
201610	2
200902	4
200611	1
200610	2
200907	2
200909	1
200201	1
200204	1
201109	2
201511	7
201510	5
201512	3
201102	2
201101	1
