date	duns_product_hits
200509	67
200508	60
201205	167
200505	56
200504	66
200507	62
200506	76
200501	260
200503	67
200502	60
201601	262
201603	283
201602	225
201605	209
201604	222
201607	219
201606	232
201609	163
201608	233
200211	53
201204	166
201207	157
200212	123
201201	269
201203	272
201202	179
201209	125
201110	219
201112	216
200001	400
200002	71
200003	76
200004	74
200005	57
200006	89
201006	330
200008	81
200009	89
200808	185
200809	135
200801	353
200802	193
200803	172
200804	163
200805	144
200806	198
200807	184
200206	86
200404	80
200405	52
200406	68
200407	37
200401	242
200402	52
200403	60
200408	64
200012	125
200011	77
200010	80
200209	89
201510	140
200812	173
200811	122
200810	152
200210	69
201701	199
201702	79
201703	116
201704	50
200308	62
200412	88
200411	57
200410	67
200512	197
200710	300
200711	247
200712	276
200510	61
201109	160
200511	193
201612	127
201308	190
201411	150
201412	109
201304	171
201305	176
201306	182
201307	230
201301	174
201302	185
201303	177
201611	133
201312	115
200905	180
201409	125
200904	189
201408	232
200906	196
200903	146
200709	214
200708	211
200707	204
200706	258
200705	285
200704	318
200703	327
200702	257
200701	373
201403	234
201402	168
201401	197
201407	181
201406	193
201405	205
201404	174
201210	175
201311	153
201310	196
201206	141
201010	223
201011	171
201012	198
200310	85
200311	64
200312	93
200409	54
200102	55
201410	153
201309	161
201007	218
200912	199
201005	236
201004	201
201003	199
201002	163
201001	263
201111	319
200604	290
201009	147
201008	177
200309	76
200911	194
200303	68
200302	47
200301	283
200307	62
200306	86
200305	59
200304	63
200112	105
200110	62
200111	69
201208	156
200606	274
200607	326
200910	179
200605	308
200602	251
200603	345
200601	460
200608	310
200609	305
200007	64
201508	245
201509	238
201502	134
201503	125
201501	159
201506	125
201507	177
201504	183
201505	106
200109	71
200108	67
201108	225
200101	333
200103	84
200205	75
200105	64
200104	85
200107	56
200106	80
200901	272
201106	237
201610	154
200902	135
200611	316
200610	268
200907	140
200612	291
200909	143
200908	166
200208	61
201512	168
200202	52
200203	74
200201	303
201212	154
200207	59
200204	73
201211	110
201511	183
201107	212
201104	201
201105	174
201102	149
201103	184
201101	263
