date	duns_product_hits
200509	3
200508	1
200505	1
200504	2
200507	2
200506	3
200501	11
200503	1
200502	1
201601	183
201603	106
201602	147
201605	170
201604	86
201607	105
201606	129
201609	62
201608	161
201205	55
201204	66
201207	67
201206	44
201201	82
201203	53
201202	49
201209	71
201208	74
201112	31
200001	2
200004	5
201006	43
200008	1
200808	35
200809	27
200801	37
200802	25
200803	12
200804	23
200805	14
200806	24
200807	36
200206	2
200406	3
200407	1
200401	6
200402	1
200403	1
200409	3
200209	1
200812	40
200811	11
200810	32
201008	50
201610	64
201701	120
201702	100
201703	91
201704	54
200308	1
200412	2
200410	2
200710	13
200711	15
200712	15
200901	32
201410	84
201309	184
201412	71
201304	102
201305	48
201306	80
201307	126
201301	79
201302	81
201303	119
200902	39
200611	13
201409	68
200610	14
201408	112
200612	13
201107	53
200709	10
200708	25
200707	18
200706	8
200705	8
200704	6
200703	2
200702	10
200701	22
201403	79
201402	143
201401	168
201407	84
201406	83
201405	85
201404	75
201312	117
201311	155
201310	127
201010	24
201011	39
201012	31
200311	2
201308	81
201411	62
201007	40
200912	103
201005	62
201004	57
201003	107
201002	56
201001	94
201111	32
200604	14
201009	40
201110	37
200605	18
200301	5
200307	1
200306	2
200112	1
200606	21
200607	9
200910	85
200911	113
200602	11
200603	21
200601	26
200608	12
200609	11
200007	1
201508	44
201509	97
201502	100
201503	115
201501	86
201506	84
201507	78
201504	167
201505	89
200108	1
201108	60
200101	2
200103	1
201109	48
200512	16
200107	1
200511	10
201612	135
201106	52
200903	61
201611	67
200905	29
200904	37
200907	41
200906	16
200909	52
200908	46
201105	64
200201	4
201212	52
200207	1
201210	141
201211	55
201511	71
201510	78
201104	52
201512	94
201102	46
201103	67
201101	72
