date	duns_product_hits
201601	12
201603	18
201602	11
201605	10
201604	16
201607	14
201606	16
201609	13
201608	13
201205	12
201204	20
201207	10
201206	14
201201	19
201203	25
201202	17
201209	13
201110	12
201112	23
201006	5
200808	3
200809	7
200801	7
200802	5
200803	1
200804	4
200805	2
200806	5
200807	7
200401	3
201510	8
200812	9
200811	6
200810	8
201008	13
201610	16
201701	34
201702	12
201703	10
201704	3
200710	8
200711	6
200712	5
201612	15
201410	5
201309	14
201412	11
201304	8
201305	8
201306	20
201307	13
201301	10
201302	3
201303	7
200902	2
200905	3
201311	6
200904	3
201310	14
200906	5
200709	10
200708	8
200707	5
200706	5
200705	7
200704	4
200703	5
200702	6
200701	4
201403	11
201402	11
201401	12
201407	18
201406	18
201405	20
201404	17
201312	11
201409	4
201408	9
201010	9
201011	11
201012	9
201308	11
201411	6
201007	12
200912	7
201005	7
201004	9
201003	10
201002	4
201001	6
201111	13
200604	1
201009	10
201208	11
200308	2
200305	3
200304	1
200111	1
200606	4
200607	3
200910	5
200911	5
200602	2
200603	4
200601	2
200608	1
200609	1
201508	9
201509	19
201502	9
201503	8
201501	7
201506	19
201507	26
201504	10
201505	6
201210	11
200205	1
201211	7
200512	2
200104	1
200511	1
200901	4
201106	7
200903	6
201611	11
200611	1
200610	2
200907	5
200612	2
200909	5
200908	10
201105	5
200201	1
201212	14
201108	17
201109	15
201511	16
201107	12
201104	3
201512	14
201102	6
201103	4
201101	10
