date	duns_product_hits
201411	1
200709	1
200804	1
200708	2
201604	1
200912	1
201603	14
201602	5
201605	10
201302	3
201607	2
201606	12
201609	13
201608	7
200705	1
201403	3
201412	3
201401	5
201407	1
201406	2
201405	1
201404	7
201701	11
201311	2
201408	3
201310	1
201508	7
201107	1
201201	2
201205	1
201207	3
201509	10
200903	2
201505	4
201202	2
201507	2
201503	3
201501	12
201111	2
201110	1
201504	10
201112	1
201210	4
201006	1
201211	1
200905	1
201612	5
201511	5
201610	7
201611	4
200901	1
200801	4
200909	2
201003	1
201506	1
200710	2
201209	4
201206	2
201005	1
201502	3
201308	7
201309	2
201001	1
201304	7
201305	4
201306	11
201307	8
201108	2
201301	9
201009	1
201303	11
201212	2
201601	12
201312	3
201106	2
201510	4
200602	1
201512	8
201102	2
201409	4
201101	3
