date	duns_product_hits
200606	2
200508	1
200506	3
200501	2
200503	1
201601	408
201603	785
201602	445
201605	456
201604	429
201607	445
201606	647
201609	447
201608	493
201205	90
201204	118
201207	191
201206	180
201201	164
201203	140
201202	118
201209	198
201208	222
201112	122
200001	3
200004	1
200009	1
200808	37
200809	57
200612	2
200801	25
200802	16
200803	10
200804	20
200805	26
200806	27
200807	32
200206	1
200404	3
200405	2
200406	1
200401	4
200812	43
200811	40
200810	35
201701	499
201702	296
201703	221
201704	113
200702	2
200411	1
200710	4
200711	21
200712	20
200901	73
201410	191
201411	185
201412	184
201304	179
201305	261
201306	267
201307	333
201301	222
201302	163
201303	190
200902	66
200611	7
201311	224
200610	3
201310	212
200906	33
200903	53
200709	5
200708	8
200707	7
200706	13
200705	11
200704	3
200703	7
201110	127
200701	20
201403	268
201402	246
201401	285
201407	263
201406	273
201405	368
201404	172
201312	253
201409	220
201408	357
201010	222
201011	208
201012	161
201308	216
201309	224
201007	228
201006	103
201005	98
201004	98
201003	127
201002	135
201001	154
201111	103
200604	5
201009	178
201008	174
200309	3
200605	1
200301	1
200307	2
200305	1
200912	85
200607	5
200910	83
200911	68
200602	5
200603	4
200601	5
200609	2
201508	478
201509	627
201502	287
201503	290
201501	282
201506	253
201507	437
201504	348
201505	225
200109	1
201210	188
201109	108
200512	1
200510	2
200511	3
201612	311
201511	513
201610	520
201611	322
200905	39
200904	36
200907	47
201107	139
200909	76
200908	67
201105	92
200201	2
201212	172
201108	145
201211	180
201106	115
201510	400
201104	99
201512	436
201102	148
201103	119
201101	212
