date	duns_product_hits
200211	1
200509	4
200508	4
200505	1
200504	2
200501	11
200503	1
200502	4
201601	165
201603	204
201602	167
201605	144
201604	136
201607	113
201606	207
201609	138
201608	171
201205	56
201204	48
201207	19
201206	30
201201	61
201203	27
201202	24
201111	12
201110	24
201112	16
200001	10
200002	1
200003	2
200004	1
201006	15
200808	3
200809	10
200801	16
200802	8
200803	6
200804	10
200805	3
200806	3
200807	6
200406	5
200407	1
200401	5
200402	1
200403	1
200012	2
200010	2
200812	11
200811	2
200810	13
201008	6
201701	237
201702	128
201703	108
201704	57
200411	1
200410	2
200710	6
200711	2
200712	8
200106	1
200901	28
201308	53
201309	61
201412	43
201304	65
201305	42
201306	38
201307	40
201301	94
201302	36
201303	66
201611	169
200611	1
201311	73
200904	5
201310	57
200612	3
200903	14
200709	4
200707	1
200706	1
200705	4
200704	4
200703	2
200702	6
200701	18
201403	65
201402	68
201401	90
201407	53
201406	60
201405	68
201404	60
201312	42
201409	89
201408	72
201010	8
201011	9
201012	15
200310	2
200312	2
201410	64
201411	40
201007	6
200606	13
201005	15
201004	9
201003	9
201002	7
201001	33
201209	49
200910	14
201009	9
201208	22
200309	2
200605	5
200302	1
200301	9
200306	3
200912	11
200607	3
200604	3
200911	10
200602	1
200603	5
200601	14
200608	1
200609	9
200906	8
201508	102
201509	172
201502	83
201503	130
201501	93
201506	105
201507	144
201504	95
201505	103
201108	15
200205	1
200101	9
201109	17
200512	3
200104	2
200511	1
201612	171
201511	137
201610	218
200902	12
200905	5
200610	4
200907	4
201107	19
200909	2
200908	5
200208	1
201512	145
200202	2
200201	6
201212	34
201210	42
201211	27
201106	9
201510	133
201104	11
201105	18
201102	20
201103	10
201101	44
