date	duns_product_hits
200606	115
200509	50
200508	28
200505	26
200504	39
200507	41
200506	35
200501	165
200503	22
200502	23
201601	2622
201603	4386
201602	2986
201605	2712
201604	1684
201607	2438
201606	3900
201609	1925
201608	2663
201205	936
201204	912
201207	933
201206	880
201201	1249
201203	839
201202	752
201209	866
201208	903
201112	714
200001	74
200002	4
200003	10
200004	7
200005	10
200006	6
200007	7
200008	11
200009	8
200808	279
200809	286
200801	460
200802	207
200803	184
200804	237
200805	244
200806	279
200807	290
200206	16
200404	22
200405	26
200406	25
200407	20
200401	119
200402	11
200211	8
200408	20
200409	15
200011	14
200010	11
200209	7
200410	25
200812	277
200811	227
200810	251
200210	13
201701	3388
201702	954
201703	871
201704	500
200702	152
200308	16
200412	32
200411	23
200102	13
200512	84
200403	17
200710	215
200711	179
200712	189
200107	15
200106	13
200901	534
201308	1031
201411	1430
201412	1289
201304	971
201305	999
201306	1014
201307	1060
201301	1385
201302	930
201303	950
200902	208
200611	118
201409	1325
200610	120
201408	1431
200612	134
200903	257
200709	183
200708	189
200707	180
200706	161
200705	167
200704	141
200703	162
201110	710
200701	369
201403	1071
201402	822
201401	1460
201407	1293
201406	1163
201405	1168
201404	1127
201312	1064
201311	918
201310	1086
200212	21
201010	536
201011	514
201012	519
200310	11
200311	6
200312	23
200012	12
201410	1747
201309	1089
201007	484
201006	572
201005	588
201004	462
201003	473
201002	331
201001	696
201111	827
200910	314
201009	536
201008	512
200309	9
200911	295
200303	11
200302	9
200301	102
200307	5
200306	15
200305	12
200304	15
200112	16
200110	10
200111	7
200912	345
200607	114
200604	95
200605	103
200602	79
200603	83
200601	280
200608	112
200609	125
200906	241
200204	4
201508	2681
201509	3580
201502	1394
201503	1435
201501	2145
201506	1536
201507	1839
201504	1780
201505	1430
200109	5
200108	7
201210	953
200205	7
200101	64
200103	10
201211	915
200105	8
200104	12
200510	31
200511	71
201612	2245
201511	3054
201610	3293
201611	1530
200905	250
200904	238
200907	254
201107	663
200909	288
200908	260
200208	8
201512	2936
200202	5
200203	6
200201	76
201212	918
200207	10
201108	749
201109	763
201106	676
201510	2123
201104	651
201105	659
201102	554
201103	650
201101	1002
