date	duns_product_hits
200211	6
200606	81
200509	12
200508	9
200505	15
200504	9
200507	9
200506	7
200501	41
200503	7
200502	11
201601	922
201603	870
201602	816
201605	809
201604	751
201607	669
201606	849
201609	582
201608	879
201205	351
201204	299
201207	335
201206	343
201201	351
201203	265
201202	302
201111	284
201110	282
201112	300
200001	24
200002	6
200003	5
200004	5
200005	10
200006	5
200007	5
200008	3
200009	1
200808	168
200809	238
200801	228
200802	127
200803	121
200804	166
200805	123
200806	106
200807	107
200206	3
200404	4
200405	8
200406	14
200407	7
200401	34
200403	7
200408	11
200012	7
200011	3
200010	4
200209	6
200812	97
200811	111
200810	233
200210	4
201701	929
201702	559
201703	580
201704	331
200308	11
200412	11
200411	5
200410	6
200105	2
200710	136
200711	137
200712	140
200107	3
200106	2
201612	663
201308	528
201411	510
201412	460
201304	398
201305	536
201306	392
201307	567
201301	454
201302	378
201303	503
200902	36
200905	78
201311	441
200904	54
201408	776
200612	115
200903	46
200709	93
200708	99
200707	72
200706	117
200705	144
200704	101
200703	119
200702	103
200701	177
201403	877
201402	532
201401	742
201407	681
201406	658
201405	715
201404	640
201312	585
201409	567
201310	416
200212	8
201010	341
201011	470
201012	359
200310	4
200311	3
200312	9
200409	6
201410	579
201309	585
201007	367
201006	383
201005	434
201004	403
201003	380
201002	184
201001	184
201209	290
200604	82
201009	357
201008	370
200309	6
200605	84
200303	1
200302	1
200301	21
200307	4
200306	7
200305	3
200304	3
200112	5
200110	2
200111	3
201208	421
200912	156
200607	60
200910	196
200911	263
200602	52
200603	79
200601	104
200608	102
200609	93
200906	120
200204	7
201508	849
201509	1030
201502	571
201503	707
201501	657
201506	605
201507	671
201504	835
201505	599
200109	5
200108	9
201210	223
200205	6
200101	23
200103	6
201109	303
200512	62
200104	3
200510	9
200511	22
200901	104
201511	770
201610	769
201611	543
200611	89
200610	90
200907	197
201510	858
200909	288
200908	203
200208	13
201105	366
200202	5
200203	4
200201	31
201212	268
200207	9
201108	432
201211	322
201106	369
201107	374
201104	340
201512	668
201102	306
201103	361
201101	446
