date	duns_product_hits
200606	10
200508	2
200505	2
200507	2
200506	1
200501	8
201601	385
201603	328
201602	339
201605	389
201604	365
201607	401
201606	506
201609	236
201608	403
201205	246
201204	253
201207	204
201206	156
201201	366
201203	196
201202	255
201209	254
201208	359
201112	190
200001	3
200002	1
200808	12
200809	27
200612	15
200801	44
200802	35
200803	26
200804	18
200805	28
200806	27
200807	29
200404	4
200406	1
200407	2
200401	9
200402	1
200012	2
200812	32
200811	19
200810	28
201701	395
201702	243
201703	289
201704	135
200412	1
200411	3
200410	1
200710	13
200711	22
200712	7
200901	52
201410	255
201411	272
201412	197
201304	479
201305	602
201306	426
201307	439
201301	325
201302	295
201303	366
200902	33
200611	6
201409	205
200904	13
201408	309
200906	14
200903	31
200709	6
200708	14
200707	14
200706	22
200705	17
200704	9
200703	4
200702	9
200701	18
201403	371
201402	269
201401	338
201407	307
201406	357
201405	384
201404	285
201312	293
201311	319
201310	347
201010	241
201011	221
201012	192
201308	247
201309	326
201007	151
201006	111
201005	103
201004	136
201003	174
201002	140
201001	112
201111	163
200604	5
201009	153
201008	179
200605	18
200307	1
200304	1
200912	88
200607	10
200910	76
200911	54
200603	10
200601	16
200608	3
200609	5
201508	354
201509	395
201502	224
201503	310
201501	202
201506	255
201507	331
201504	306
201505	221
200109	2
201108	167
200101	2
201110	170
201211	189
200512	6
200511	3
201612	361
201511	325
201610	340
201611	299
200905	16
200610	5
200907	26
201107	148
200909	48
200908	51
201512	336
200201	2
201212	258
201210	249
201109	158
201106	158
201510	316
201104	138
201105	159
201102	158
201103	199
201101	228
