date	duns_product_hits
200509	7
200508	4
200505	7
200504	5
200507	11
200506	6
200501	25
200503	6
200502	3
201601	364
201603	452
201602	318
201605	378
201604	379
201607	240
201606	395
201609	322
201608	349
201205	158
201204	136
201207	97
201206	124
201201	160
201203	135
201202	143
201209	136
201110	103
201112	138
200001	10
200005	1
200808	53
200809	37
200801	80
200802	66
200803	70
200804	48
200805	53
200806	43
200807	46
200404	6
200405	4
200406	2
200407	5
200401	23
200211	1
200408	3
200409	10
200010	2
200209	1
200812	36
200811	20
200810	44
201701	482
201702	235
201703	199
201704	104
200412	4
200411	5
200410	2
200403	2
200710	40
200711	23
200712	8
201612	324
201308	133
201309	154
201412	155
201304	108
201305	149
201306	136
201307	160
201301	93
201302	127
201303	135
200902	52
200905	60
201409	119
200610	42
201310	158
200612	36
200903	32
200709	18
200708	21
200707	18
200706	44
200705	42
200704	87
200703	48
200702	37
200701	69
201403	253
201402	181
201401	225
201407	235
201406	224
201405	262
201404	190
201312	273
201311	215
201408	257
200212	4
201010	142
201011	115
201012	84
200310	7
200311	3
200312	1
200912	67
200012	1
201410	189
201411	166
201007	83
201006	121
201005	105
201004	86
201003	47
201002	57
201001	82
201111	101
200604	30
201009	92
201008	57
200309	1
200308	7
200303	3
200302	2
200301	21
200307	3
200306	1
200305	4
200304	2
200112	1
200110	1
201208	122
200606	21
200607	35
200910	25
200605	66
200602	22
200603	28
200601	65
200911	66
200608	49
200609	24
200906	50
200204	8
201508	187
201509	291
201502	154
201503	245
201501	246
201506	154
201507	196
201504	274
201505	212
200109	2
201108	136
200205	6
200101	12
201109	109
200512	16
200510	6
200511	28
200901	59
201106	130
201610	439
201611	254
200611	21
200904	64
200907	23
201510	213
200909	50
200908	20
200208	1
201105	108
200203	1
200201	8
201212	79
201210	117
201211	88
201511	195
201107	102
201104	111
201512	326
201102	82
201103	72
201101	75
