date	duns_product_hits
201601	26
201603	32
201602	24
201605	104
201604	23
201607	36
201606	61
201609	8
201608	22
201204	1
201207	1
201201	3
201209	2
201208	1
201112	1
200808	1
200809	1
200803	1
200804	1
200805	3
200806	2
200807	1
200811	1
200810	2
201701	22
201702	1
201704	1
200710	2
200711	2
201308	4
201411	12
201412	6
201304	3
201305	4
201306	5
201307	7
201301	8
201302	2
200610	1
200709	3
200705	2
200703	1
200702	4
200701	2
201403	3
201402	1
201401	4
201406	2
201312	9
201409	2
201408	5
201010	4
201410	8
201309	3
201006	1
201004	2
201002	2
201001	3
200604	1
201009	3
201008	1
200606	3
200607	1
200910	1
200605	1
200602	7
200603	5
200601	3
200608	4
200609	2
201508	30
201509	13
201502	12
201503	26
201501	13
201506	13
201507	7
201504	14
201505	8
200512	2
201612	14
201610	15
201611	31
200611	2
200904	1
200907	1
200906	1
200908	1
201212	5
201210	2
201211	3
201511	26
201510	15
201104	1
201512	16
201102	1
201103	1
